user_id_original,item_id_original,time,user_id,item_id
446,outfit.7cc6bd8e645a41d2837976a0d09e3ca9,1570467600,0,0
7367,outfit.7ee7542297f944ecb49f4fe5b44728f7,1680454800,1,1
6696,outfit.e8e4d130fa3e4f108127dc74fd854a75,1621270800,2,2
1878,outfit.7395b78d10084aebb906f8f83bfd89cc,1658854800,3,3
4906,outfit.c929e1bd6aa940f7a34c16471389c460,1596042000,4,4
7411,outfit.6a8a9e4b00374d0e953550820b496573,1603990800,5,5
1374,outfit.1e4a3ce9976a4d9a9061c167255f3875,1601830800,6,6
6118,outfit.5862a9386cbc4ff29e9892f49274c243,1570467600,7,7
7101,outfit.f6e0ac328eac45939027a5dbf9d8a086,1618938000,8,8
5929,outfit.69510e71049843628dabe5ef896f1b04,1636909200,9,9
5459,outfit.aa76777d3b9d4073a342e2093e4ea1e2,1698166800,10,10
6118,outfit.5be908ebbb1a448e9b2655a0d7a78a2e,1571763600,7,11
3094,outfit.20ae7885d88441348ab7a255bcc2173e,1643821200,11,12
4674,outfit.d628edcdb5d743e09c72d3482c5df99c,1631120400,12,13
1942,outfit.1a05c2e6ba8c4de28923f683bef9c1ae,1596992400,13,14
2649,outfit.363a3d3fbf64484293b96404b1bdd504,1714582800,14,15
7152,outfit.7d5887278cfb479b8c92081dc85ad698,1607533200,15,16
6310,outfit.bcc71d0caf95dc33,1657126800,16,17
5224,outfit.70bfcd7059a248ba9b8337bad5ce56fa,1640883600,17,18
7371,outfit.8a458a93e4cd4214a520074f16d5b9fa,1596646800,18,19
2170,outfit.853ff9245b124c84bb0973a6065e64de,1716656400,19,20
1382,outfit.ade5433e25b54fbbb66a54f8fe113132,1627232400,20,21
5680,outfit.4b20b3ccd3cd41fe98d0225f47276e2c,1635094800,21,22
7244,outfit.2208707dcf134558b4d335f1e3534655,1628442000,22,23
1586,outfit.96f7210a2ae0aa93,1655312400,23,24
2040,outfit.ef9f1336091444cfb75dc29538ecbec9,1606669200,24,25
1237,outfit.f398680c9638415dbe02347d447dd922,1638723600,25,26
6318,outfit.bdc81580030648a48acd9e91046c3d44,1615914000,26,27
2796,outfit.a392c1d7863044a69bb57db560056b76,1653498000,27,28
1626,outfit.55d914792ebf4d18808eb0bd3ec70bb3,1676480400,28,29
3189,outfit.6dea8453a7dd4701830624eeea14bf9b,1666544400,29,30
6955,outfit.3fb6cd2d1f454b85937d1540dcf212f0,1711558800,30,31
3312,outfit.88a780cac1d40972,1599411600,31,32
6907,outfit.46fd30ba34534c96b133e88f257cb7e1,1657040400,32,33
416,outfit.ed0bda9223004815822e8eaff7b7688f,1699290000,33,34
6319,outfit.fbda7f830faf4caf9b0a085054f22e54,1638464400,34,35
572,outfit.b8c30d318f9d0554,1617555600,35,36
4463,outfit.ae3c94e801eb4aebb7c3714ec981521c,1695315600,36,37
7118,outfit.7cc6bd8e645a41d2837976a0d09e3ca9,1694624400,37,0
4073,outfit.b619b14568c94d46ac314ae0983703bd,1665248400,38,38
731,outfit.7d69ae2f5dc641bca0eed4b1dfc17ac8,1654707600,39,39
5844,outfit.bb2d50bdafd541558b88c10690b81375,1570640400,40,40
7114,outfit.202c5658aee14e4180cd074aa81842a1,1652547600,41,41
1735,outfit.897c161625314c1a993188bc0a5ca063,1632762000,42,42
3267,outfit.3f4efea108664d0fbdd0ebe5d724e275,1591894800,43,43
